"Padang, Sumatera Barat",1/1/2014,30.1,22.8,26.5,36.1,22.8,29.1,23.5,83.8,2.4,100,83.33,rain,,,,17.4,207.6,1009.5,75,8.5,145.7,12.5,6,,2014-01-01T06:16:46,2014-01-01T18:27:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/2/2014,30,23.6,26.8,36.1,23.6,29.4,23.7,84,9.8,100,100,rain,,,,14.3,215.2,1009.6,59.5,8.2,178.9,15.4,7,,2014-01-02T06:17:14,2014-01-02T18:27:41,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/3/2014,30,24,26.3,35.4,24,27.9,23.7,86.3,44.4,100,100,rain,,,,21.5,275.9,1010.3,83.6,7.7,90.6,7.8,3,,2014-01-03T06:17:43,2014-01-03T18:28:08,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/4/2014,28.4,22.1,24.9,32.1,22.1,25.4,22.9,89.2,33.8,100,100,rain,,,,18.7,307.2,1010.9,87.8,6.2,64,5.7,2,,2014-01-04T06:18:11,2014-01-04T18:28:35,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96163099999,remote,WIPT"
"Padang, Sumatera Barat",1/5/2014,30,22.6,26.1,34,22.6,27.6,22.6,81.7,4.7,100,100,rain,,,,15.8,296.5,1009.5,64.1,8.2,233.8,20.2,8,,2014-01-05T06:18:38,2014-01-05T18:29:01,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96163099999,remote,WIPT"
"Padang, Sumatera Barat",1/6/2014,29.6,23,26.1,34.4,23,28,23.1,84.1,18.7,100,100,rain,,,,29.5,269.9,1009.5,68.3,6.8,147.9,12.9,6,,2014-01-06T06:19:06,2014-01-06T18:29:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96163099999,remote,WIPT"
"Padang, Sumatera Barat",1/7/2014,30,22.6,26.2,34,22.6,27.8,22.6,81.5,16.6,100,100,rain,,,,15.6,233.7,1009.8,66,8.7,170.3,14.8,6,,2014-01-07T06:19:33,2014-01-07T18:29:53,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96163099999,remote,WIPT"
"Padang, Sumatera Barat",1/8/2014,30,22.6,26.3,36.1,22.6,28.7,23.6,85.5,4.1,100,100,rain,,,,14,219.7,1008.7,60.6,9.1,159.2,14,6,,2014-01-08T06:19:59,2014-01-08T18:30:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/9/2014,30,22.7,25.8,36.1,22.7,27.3,23.4,86.8,9.6,100,100,rain,,,,16.6,186,1009.8,76.2,7.7,118.2,10,5,,2014-01-09T06:20:25,2014-01-09T18:30:42,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/10/2014,29.5,22.2,26.2,34.9,22.2,28.2,23.2,84,6.6,100,100,rain,,,,22.3,191.2,1010.2,65.8,8.6,230.5,19.8,8,,2014-01-10T06:20:51,2014-01-10T18:31:06,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/11/2014,31,23.1,26.4,35.4,23.1,28.1,22.7,80.9,20.8,100,100,rain,,,,12.5,293.2,1010.1,66.6,8.6,191.3,16.5,7,,2014-01-11T06:21:16,2014-01-11T18:31:29,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/12/2014,30,23.2,25.5,35,23.2,26.8,23,86.8,20.6,100,100,rain,,,,28,319.1,1010.5,78.4,6.3,179,15.6,6,,2014-01-12T06:21:40,2014-01-12T18:31:51,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/13/2014,30,23.5,25.7,37.6,23.5,27.2,23.5,88.1,18,100,100,rain,,,,13,341.2,1010.2,80.3,5.7,138,12,5,,2014-01-13T06:22:04,2014-01-13T18:32:13,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/14/2014,29.6,23,25.8,34.8,23,27.3,23,85.2,12.8,100,100,rain,,,,13,271.7,1010.7,74.4,7.8,141,12.2,5,,2014-01-14T06:22:27,2014-01-14T18:32:34,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
"Padang, Sumatera Barat",1/15/2014,30,23.2,26.1,35,23.2,27.7,23.2,84.5,5.3,100,79.17,rain,,,,12.6,240.1,1011.3,66,8.6,138.7,11.9,5,,2014-01-15T06:22:50,2014-01-15T18:32:55,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,96163099999,WIPT"
